Date,delegacion_inicio,value
2015-09-01,MILPA ALTA,10
2015-09-01,TLAHUAC,60
2015-09-01,TLALPAN,87
2015-09-01,VENUSTIANO CARRANZA,178
2015-09-01,XOCHIMILCO,90
2016-04-01,ALVARO OBREGON,146
2016-04-01,AZCAPOTZALCO,89
2016-04-01,BENITO JUAREZ,149
2016-04-01,COYOACAN,211
2016-04-01,CUAJIMALPA,29
2016-04-01,CUAUHTEMOC,270
2016-04-01,GUSTAVO A. MADERO,224
2016-04-01,IZTACALCO,92
2016-04-01,IZTAPALAPA,381
2016-04-01,MAGDALENA CONTRERAS,24
2016-04-01,MIGUEL HIDALGO,149
2016-04-01,MILPA ALTA,14
2016-04-01,TLAHUAC,81
2016-04-01,TLALPAN,112
2016-04-01,VENUSTIANO CARRANZA,121
2016-04-01,XOCHIMILCO,72
2016-08-01,ALVARO OBREGON,123
2016-08-01,AZCAPOTZALCO,62
2016-08-01,BENITO JUAREZ,171
2016-08-01,COYOACAN,145
2016-08-01,CUAJIMALPA,11
2016-08-01,CUAUHTEMOC,309
2016-08-01,GUSTAVO A. MADERO,265
2016-08-01,IZTACALCO,122
2016-08-01,IZTAPALAPA,407
2016-08-01,MAGDALENA CONTRERAS,12
2016-08-01,MIGUEL HIDALGO,135
2016-08-01,MILPA ALTA,6
2016-08-01,TLAHUAC,76
2016-08-01,TLALPAN,108
2016-08-01,VENUSTIANO CARRANZA,145
2016-08-01,XOCHIMILCO,82
2016-12-01,ALVARO OBREGON,146
2016-12-01,AZCAPOTZALCO,104
2016-12-01,BENITO JUAREZ,171
2016-12-01,COYOACAN,232
2016-12-01,CUAJIMALPA,38
2016-12-01,CUAUHTEMOC,329
2016-12-01,GUSTAVO A. MADERO,275
2016-12-01,IZTACALCO,137
2016-12-01,IZTAPALAPA,480
2016-12-01,MAGDALENA CONTRERAS,31
2016-12-01,MIGUEL HIDALGO,190
2016-12-01,MILPA ALTA,5
2016-12-01,TLAHUAC,74
2016-12-01,TLALPAN,104
2016-12-01,VENUSTIANO CARRANZA,172
2016-12-01,XOCHIMILCO,82
2016-01-01,ALVARO OBREGON,95
2016-01-01,AZCAPOTZALCO,116
2016-01-01,BENITO JUAREZ,118
2016-01-01,COYOACAN,129
2016-01-01,CUAJIMALPA,19
2016-01-01,CUAUHTEMOC,283
2016-01-01,GUSTAVO A. MADERO,192
2016-01-01,IZTACALCO,88
2016-01-01,IZTAPALAPA,352
2016-01-01,MAGDALENA CONTRERAS,24
2016-01-01,MIGUEL HIDALGO,124
2016-01-01,MILPA ALTA,7
2016-01-01,TLAHUAC,62
2016-01-01,TLALPAN,93
2016-01-01,VENUSTIANO CARRANZA,135
2016-01-01,XOCHIMILCO,88
2016-02-01,ALVARO OBREGON,99
2016-02-01,AZCAPOTZALCO,75
2016-02-01,BENITO JUAREZ,141
2016-02-01,COYOACAN,161
2016-02-01,CUAJIMALPA,46
2016-02-01,CUAUHTEMOC,305
2016-02-01,GUSTAVO A. MADERO,210
2016-02-01,IZTACALCO,101
2016-02-01,IZTAPALAPA,374
2016-02-01,MAGDALENA CONTRERAS,22
2016-02-01,MIGUEL HIDALGO,98
2016-02-01,MILPA ALTA,10
2016-02-01,TLAHUAC,71
2016-02-01,TLALPAN,123
2016-02-01,VENUSTIANO CARRANZA,166
2016-02-01,XOCHIMILCO,79
2016-07-01,ALVARO OBREGON,104
2016-07-01,AZCAPOTZALCO,77
2016-07-01,BENITO JUAREZ,173
2016-07-01,COYOACAN,136
2016-07-01,CUAJIMALPA,19
2016-07-01,CUAUHTEMOC,275
2016-07-01,GUSTAVO A. MADERO,226
2016-07-01,IZTACALCO,82
2016-07-01,IZTAPALAPA,406
2016-07-01,MAGDALENA CONTRERAS,35
2016-07-01,MIGUEL HIDALGO,127
2016-07-01,MILPA ALTA,10
2016-07-01,TLAHUAC,48
2016-07-01,TLALPAN,116
2016-07-01,VENUSTIANO CARRANZA,153
2016-07-01,XOCHIMILCO,72
2016-06-01,ALVARO OBREGON,143
2016-06-01,AZCAPOTZALCO,86
2016-06-01,BENITO JUAREZ,146
2016-06-01,COYOACAN,149
2016-06-01,CUAJIMALPA,18
2016-06-01,CUAUHTEMOC,303
2016-06-01,GUSTAVO A. MADERO,239
2016-06-01,IZTACALCO,98
2016-06-01,IZTAPALAPA,361
2016-06-01,MAGDALENA CONTRERAS,18
2016-06-01,MIGUEL HIDALGO,150
2016-06-01,MILPA ALTA,13
2016-06-01,TLAHUAC,95
2016-06-01,TLALPAN,102
2016-06-01,VENUSTIANO CARRANZA,139
2016-06-01,XOCHIMILCO,64
2016-03-01,ALVARO OBREGON,104
2016-03-01,AZCAPOTZALCO,99
2016-03-01,BENITO JUAREZ,103
2016-03-01,COYOACAN,135
2016-03-01,CUAJIMALPA,20
2016-03-01,CUAUHTEMOC,297
2016-03-01,GUSTAVO A. MADERO,228
2016-03-01,IZTACALCO,85
2016-03-01,IZTAPALAPA,314
2016-03-01,MAGDALENA CONTRERAS,26
2016-03-01,MIGUEL HIDALGO,127
2016-03-01,MILPA ALTA,9
2016-03-01,TLAHUAC,73
2016-03-01,TLALPAN,78
2016-03-01,VENUSTIANO CARRANZA,148
2016-03-01,XOCHIMILCO,66
2016-05-01,ALVARO OBREGON,155
2016-05-01,AZCAPOTZALCO,62
2016-05-01,BENITO JUAREZ,115
2016-05-01,COYOACAN,139
2016-05-01,CUAJIMALPA,25
2016-05-01,CUAUHTEMOC,291
2016-05-01,GUSTAVO A. MADERO,198
2016-05-01,IZTACALCO,116
2016-05-01,IZTAPALAPA,354
2016-05-01,MAGDALENA CONTRERAS,25
2016-05-01,MIGUEL HIDALGO,138
2016-05-01,MILPA ALTA,16
2016-05-01,TLAHUAC,78
2016-05-01,TLALPAN,84
2016-05-01,VENUSTIANO CARRANZA,143
2016-05-01,XOCHIMILCO,61
2016-11-01,ALVARO OBREGON,136
2016-11-01,AZCAPOTZALCO,132
2016-11-01,BENITO JUAREZ,155
2016-11-01,COYOACAN,177
2016-11-01,CUAJIMALPA,37
2016-11-01,CUAUHTEMOC,325
2016-11-01,GUSTAVO A. MADERO,243
2016-11-01,IZTACALCO,100
2016-11-01,IZTAPALAPA,459
2016-11-01,MAGDALENA CONTRERAS,29
2016-11-01,MIGUEL HIDALGO,147
2016-11-01,MILPA ALTA,10
2016-11-01,TLAHUAC,82
2016-11-01,TLALPAN,111
2016-11-01,VENUSTIANO CARRANZA,155
2016-11-01,XOCHIMILCO,135
2016-10-01,ALVARO OBREGON,131
2016-10-01,AZCAPOTZALCO,142
2016-10-01,BENITO JUAREZ,205
2016-10-01,COYOACAN,203
2016-10-01,CUAJIMALPA,34
2016-10-01,CUAUHTEMOC,333
2016-10-01,GUSTAVO A. MADERO,318
2016-10-01,IZTACALCO,146
2016-10-01,IZTAPALAPA,456
2016-10-01,MAGDALENA CONTRERAS,19
2016-10-01,MIGUEL HIDALGO,204
2016-10-01,MILPA ALTA,14
2016-10-01,TLAHUAC,67
2016-10-01,TLALPAN,97
2016-10-01,VENUSTIANO CARRANZA,160
2016-10-01,XOCHIMILCO,78
2016-09-01,ALVARO OBREGON,134
2016-09-01,AZCAPOTZALCO,76
2016-09-01,BENITO JUAREZ,122
2016-09-01,COYOACAN,169
2016-09-01,CUAJIMALPA,24
2016-09-01,CUAUHTEMOC,306
2016-09-01,GUSTAVO A. MADERO,267
2016-09-01,IZTACALCO,94
2016-09-01,IZTAPALAPA,428
2016-09-01,MAGDALENA CONTRERAS,30
2016-09-01,MIGUEL HIDALGO,137
2016-09-01,MILPA ALTA,8
2016-09-01,TLAHUAC,47
2016-09-01,TLALPAN,133
2016-09-01,VENUSTIANO CARRANZA,140
2016-09-01,XOCHIMILCO,66
2017-04-01,ALVARO OBREGON,128
2017-04-01,AZCAPOTZALCO,60
2017-04-01,BENITO JUAREZ,169
2017-04-01,COYOACAN,149
2017-04-01,CUAJIMALPA,37
2017-04-01,CUAUHTEMOC,306
2017-04-01,GUSTAVO A. MADERO,259
2017-04-01,IZTACALCO,82
2017-04-01,IZTAPALAPA,385
2017-04-01,MAGDALENA CONTRERAS,7
2017-04-01,MIGUEL HIDALGO,107
2017-04-01,MILPA ALTA,12
2017-04-01,TLAHUAC,46
2017-04-01,TLALPAN,103
2017-04-01,VENUSTIANO CARRANZA,124
2017-04-01,XOCHIMILCO,129
2017-08-01,ALVARO OBREGON,185
2017-08-01,AZCAPOTZALCO,120
2017-08-01,BENITO JUAREZ,176
2017-08-01,COYOACAN,172
2017-08-01,CUAJIMALPA,29
2017-08-01,CUAUHTEMOC,333
2017-08-01,GUSTAVO A. MADERO,285
2017-08-01,IZTACALCO,151
2017-08-01,IZTAPALAPA,428
2017-08-01,MAGDALENA CONTRERAS,30
2017-08-01,MIGUEL HIDALGO,157
2017-08-01,MILPA ALTA,7
2017-08-01,TLAHUAC,58
2017-08-01,TLALPAN,103
2017-08-01,VENUSTIANO CARRANZA,136
2017-08-01,XOCHIMILCO,79
2017-12-01,ALVARO OBREGON,155
2017-12-01,AZCAPOTZALCO,138
2017-12-01,BENITO JUAREZ,153
2017-12-01,COYOACAN,244
2017-12-01,CUAJIMALPA,36
2017-12-01,CUAUHTEMOC,345
2017-12-01,GUSTAVO A. MADERO,300
2017-12-01,IZTACALCO,103
2017-12-01,IZTAPALAPA,516
2017-12-01,MAGDALENA CONTRERAS,45
2017-12-01,MIGUEL HIDALGO,148
2017-12-01,MILPA ALTA,15
2017-12-01,TLAHUAC,99
2017-12-01,TLALPAN,160
2017-12-01,VENUSTIANO CARRANZA,246
2017-12-01,XOCHIMILCO,168
2017-01-01,ALVARO OBREGON,164
2017-01-01,AZCAPOTZALCO,112
2017-01-01,BENITO JUAREZ,133
2017-01-01,COYOACAN,180
2017-01-01,CUAJIMALPA,28
2017-01-01,CUAUHTEMOC,281
2017-01-01,GUSTAVO A. MADERO,287
2017-01-01,IZTACALCO,111
2017-01-01,IZTAPALAPA,541
2017-01-01,MAGDALENA CONTRERAS,36
2017-01-01,MIGUEL HIDALGO,171
2017-01-01,MILPA ALTA,14
2017-01-01,TLAHUAC,81
2017-01-01,TLALPAN,143
2017-01-01,VENUSTIANO CARRANZA,147
2017-01-01,XOCHIMILCO,104
2017-02-01,ALVARO OBREGON,144
2017-02-01,AZCAPOTZALCO,165
2017-02-01,BENITO JUAREZ,160
2017-02-01,COYOACAN,277
2017-02-01,CUAJIMALPA,33
2017-02-01,CUAUHTEMOC,351
2017-02-01,GUSTAVO A. MADERO,223
2017-02-01,IZTACALCO,142
2017-02-01,IZTAPALAPA,468
2017-02-01,MAGDALENA CONTRERAS,53
2017-02-01,MIGUEL HIDALGO,171
2017-02-01,MILPA ALTA,13
2017-02-01,TLAHUAC,60
2017-02-01,TLALPAN,119
2017-02-01,VENUSTIANO CARRANZA,175
2017-02-01,XOCHIMILCO,95
2017-07-01,ALVARO OBREGON,170
2017-07-01,AZCAPOTZALCO,98
2017-07-01,BENITO JUAREZ,249
2017-07-01,COYOACAN,166
2017-07-01,CUAJIMALPA,37
2017-07-01,CUAUHTEMOC,370
2017-07-01,GUSTAVO A. MADERO,251
2017-07-01,IZTACALCO,131
2017-07-01,IZTAPALAPA,383
2017-07-01,MAGDALENA CONTRERAS,24
2017-07-01,MIGUEL HIDALGO,141
2017-07-01,MILPA ALTA,13
2017-07-01,TLAHUAC,55
2017-07-01,TLALPAN,99
2017-07-01,VENUSTIANO CARRANZA,174
2017-07-01,XOCHIMILCO,85
2017-06-01,ALVARO OBREGON,152
2017-06-01,AZCAPOTZALCO,95
2017-06-01,BENITO JUAREZ,197
2017-06-01,COYOACAN,186
2017-06-01,CUAJIMALPA,23
2017-06-01,CUAUHTEMOC,343
2017-06-01,GUSTAVO A. MADERO,276
2017-06-01,IZTACALCO,110
2017-06-01,IZTAPALAPA,476
2017-06-01,MAGDALENA CONTRERAS,41
2017-06-01,MIGUEL HIDALGO,184
2017-06-01,MILPA ALTA,7
2017-06-01,TLAHUAC,80
2017-06-01,TLALPAN,135
2017-06-01,VENUSTIANO CARRANZA,167
2017-06-01,XOCHIMILCO,130
2017-03-01,ALVARO OBREGON,161
2017-03-01,AZCAPOTZALCO,140
2017-03-01,BENITO JUAREZ,130
2017-03-01,COYOACAN,170
2017-03-01,CUAJIMALPA,33
2017-03-01,CUAUHTEMOC,412
2017-03-01,GUSTAVO A. MADERO,296
2017-03-01,IZTACALCO,99
2017-03-01,IZTAPALAPA,467
2017-03-01,MAGDALENA CONTRERAS,47
2017-03-01,MIGUEL HIDALGO,142
2017-03-01,MILPA ALTA,13
2017-03-01,TLAHUAC,95
2017-03-01,TLALPAN,153
2017-03-01,VENUSTIANO CARRANZA,211
2017-03-01,XOCHIMILCO,111
2017-05-01,ALVARO OBREGON,209
2017-05-01,AZCAPOTZALCO,141
2017-05-01,BENITO JUAREZ,174
2017-05-01,COYOACAN,219
