"Name","Gross Export","Share","Code","Sector"
"Glass envelopes","213973","0.000043735422227163274","7011","Stone"
"Glassware for interior decorative use","91521896","0.018706793682336208","7013","Stone"
"Signaling glassware","37477","0.000007660183382050062","7014","Stone"
"Clock or watch glasses and similar glasses","47817","0.000009773647537942947","7015","Stone"
"Glass paving blocks or other molded products","9450254","0.0019316028136444254","7016","Stone"
"Laboratory, hygienic or pharmaceutical glassware","65884096","0.013466506319091466","7017","Stone"
"Glass beads","2871513","0.0005869284137988824","7018","Stone"
"Glass fibers","484169600","0.09896277514245606","7019","Stone"
"Other articles of glass","1801890","0.0003683007667177786","7020","Stone"
"Pearls","239460","0.00004894488653482691","7101","Stone"
"Diamonds","6813742","0.001392707880512756","7102","Stone"
"Precious stones","3456802","0.0007065596828838333","7103","Stone"
"Synthetic precious stones","19316","0.0000039481309124977715","7104","Stone"
"Diamond dust","46694","0.000009544109796447037","7105","Stone"
"Silver","1746483456","0.35697583975976094","7106","Stone"
"Silver clad metals","258835","0.000052905076865622316","7107","Stone"
"Gold","3841876224","0.7852676683560063","7108","Stone"
"Gold clad metals","4765575","0.0009740688534544714","7109","Stone"
"Platinum","9331225","0.0019072736526181417","7110","Stone"
"Platinum clad metals","117199","0.00002395511466213638","7111","Stone"
"Scrap of precious metal","159934720","0.032690164216901824","7112","Stone"
"Jewelry of precious metal","264531168","0.05406935606232871","7113","Stone"
"Goldsmith and silversmith wares","559850","0.00011443161582946146","7114","Stone"
"Other articles of precious metals","3832016","0.0007832522689369467","7115","Stone"
"Articles of precious stones","4253066","0.0008693135922288904","7116","Stone"
"Imitation jewelry","22669260","0.004633526929459994","7117","Stone"
"Coin","1880463","0.00038436084593644116","7118","Stone"
"Ferroalloys","69158536","0.014135791770795715","7202","Metals"
"Ferrous waste and scrap","304010912","0.06213889415012631","7204","Metals"
"Powders of iron or steel","117956","0.000024109843130802817","7205","Metals"
"Iron and nonalloy steel","3118966","0.0006375070449176604","7206","Metals"
"Semifinished products of iron or nonalloy steel","626500800","0.12805483408493396","7207","Metals"
"Flat-rolled iron, width > 600mm, hot-rolled, not clad","255384064","0.05219971617507296","7208","Metals"
"Flat-rolled iron, width > 600mm, cold-rolled, not clad","158987344","0.03249652348013653","7209","Metals"
"Flat rolled iron, width > 600mm, clad","256540288","0.0524360447998489","7210","Metals"
"Flat-rolled iron, width < 600mm, not clad","56861316","0.011622277874554988","7211","Metals"
"Flat-rolled iron, width < 600mm, clad","19973664","0.004082555408689371","7212","Metals"
"Hot rolled bars of iron","158557056","0.03240857393809486","7213","Metals"
"Other bars of iron, not further worked than forged","210004784","0.04292433109768159","7214","Metals"
"Other bars and rods of iron or nonalloy steel","2503266","0.000511659861089493","7215","Metals"
"Angles of iron or nonalloy steel","204701248","0.04184030467258608","7216","Metals"
"Wire of iron or nonalloy steel","121919552","0.02491998095304823","7217","Metals"
"Stainless steel in ingots","134272","0.000027444783282403236","7218","Metals"
"Flat-rolled products of stainless steel of a width > 600 mm","156309536","0.03194918777178418","7219","Metals"
"Flat-rolled products of stainless steel of a width < 600 mm","24734390","0.005055633141477312","7220","Metals"
"Bars of stainless steel, hot-rolled","13896","0.00000284029960447655","7221","Metals"
"Other bars and rods of stainless steel","2737728","0.000559583171816665","7222","Metals"
"Wire of stainless steel","6115277","0.001249943785576032","7223","Metals"
"Other alloy steel in primary form","196072560","0.04007662741916412","7224","Metals"
"Flat-rolled products of other alloy steel, width > 600 mm","42532444","0.00869350056639472","7225","Metals"
"Flat-rolled products of other alloy steel, width < 600 mm","2615670","0.0005346348925187952","7226","Metals"
"Bars of other alloy steel","5831963","0.0011920352764984076","7227","Metals"
"Other bars and rods of other alloy steel","24691976","0.005046963850499746","7228","Metals"
"Wire of other alloy steel","12256713","0.002505234390190169","7229","Metals"
"Sheet piling of iron or steel","601607","0.00012296661803039174","7301","Metals"
"Railway construction material of iron or steel","1360446","0.0002780709726332545","7302","Metals"
"Tubes of cast iron","593214","0.00012125111467832124","7303","Metals"
"Tubes, seamless, of iron or steel","1086817152","0.22214207879705888","7304","Metals"
"Other tubes and pipes, diameter > 406.4 mm, of iron or steel","127225368","0.026004473403122015","7305","Metals"
"Other tubes, pipes and hollow profiles of iron or steel","412605248","0.084335241990454","7306","Metals"
"Tube or pipe fittings of iron or steel","178509488","0.03648678959137244","7307","Metals"
"Structures and their parts, of iron or steel","752549376","0.15381877482742332","7308","Metals"
"Tanks etc. > 300 liters, iron or steel","72001208","0.01471682517301625","7309","Metals"
"Tanks etc. < 300 liters, iron or steel","96408032","0.01970550483289886","7310","Metals"
"Containers for compressed or liquified gas","86191056","0.017617186403728856","7311","Metals"
"Wire of iron or steel, not insulated","43236272","0.008837360842015007","7312","Metals"
"Barbed wire of iron or steel","13767538","0.0028140423673010846","7313","Metals"
"Cloth of iron or steel wire","169945424","0.03473632128452789","7314","Metals"
"Chain of iron or steel","22694108","0.004638605784135586","7315","Metals"
"Anchors of iron or steel","674971","0.00013796199369121628","7316","Metals"
"Nails and similar articles of iron or steel","38842244","0.007939235051106911","7317","Metals"
"Screws and similar articles of iron or steel","168666192","0.03447485020337981","7318","Metals"
"Articles for sewing of iron or steel","1024102","0.00020932329487216778","7319","Metals"
"Springs of iron or steel","685591296","0.14013274948628132","7320","Metals"
"Stoves and similar non-electric appliances of iron or steel","611667328","0.12502291809079075","7321","Metals"
"Radiators for central heating of iron or steel","375436704","0.07673810606485172","7322","Metals"
"Household articles of iron or steel","41782856","0.008540287087701543","7323","Metals"
"Sanitary ware and parts of iron or steel","67657120","0.013828906964307892","7324","Metals"
"Other cast articles of iron or steel","61693032","0.012609865744714965","7325","Metals"
